;Fecha;Tmax (C);Tmin (C);TBS07 (C);TBS13 (C);TBS19 (C);TBH07 (C);TBH13 (C);TBH19 (C);Prec07 (mm);Prec19 (mm);Direccion del Viento;Velocidad del Viento (m/s)
1;1/01/1960;29;23;23.9;28;25.5;NA;NA;NA;NA;NA;WNW;5
2;2/01/1960;29;23;24.5;27.6;25.2;NA;NA;NA;NA;NA;W;5
3;3/01/1960;29.7;23.1;24.1;28;25.1;NA;NA;NA;NA;NA;W;4
4;4/01/1960;31;21.9;24.2;28.5;25;NA;NA;NA;NA;NA;W;5
5;5/01/1960;29.8;21.4;24.5;28.5;24.9;NA;NA;NA;NA;NA;W;5
6;6/01/1960;29.1;21.7;24.3;28.6;25;NA;NA;NA;NA;NA;WNW;6
7;7/01/1960;29.2;21.3;23.2;28;25;NA;NA;NA;NA;NA;NW;4
8;8/01/1960;29.2;21.9;23;27.4;25.5;NA;NA;NA;NA;NA;NW;4
9;9/01/1960;30;21.3;23.8;28.2;26;NA;NA;NA;NA;NA;W;5
10;10/01/1960;30;22.3;23.8;29.2;25.7;NA;NA;NA;NA;NA;WNW;4
11;11/01/1960;30.6;24.3;25.3;29.1;25.8;NA;NA;NA;NA;NA;WNW;4
12;12/01/1960;29.6;23.9;25;27.8;25.5;NA;NA;NA;NA;NA;WNW;5
13;13/01/1960;29.4;24;24.5;27.5;25.2;NA;NA;NA;NA;NA;WNW;5
14;14/01/1960;31.1;22.4;24.3;29.2;25.9;NA;NA;NA;NA;NA;NNW;5
15;15/01/1960;31;22.9;24.5;28.7;25.3;NA;NA;NA;NA;NA;NNW;5
16;16/01/1960;27.2;22.5;23.8;26.8;24.7;NA;NA;NA;NA;NA;N;3
17;17/01/1960;30;23.1;24.5;27.8;25.4;NA;NA;NA;NA;NA;WNW;5
18;18/01/1960;29.5;22.5;23.8;27.8;26.2;NA;NA;NA;NA;NA;WNW;4
19;19/01/1960;29.5;22.1;24.5;27.5;25.6;NA;NA;NA;NA;NA;WNW;4
20;20/01/1960;28.5;22;23.9;27.5;24.4;NA;NA;NA;NA;NA;WNW;2
