"","Fecha","Tmax (C)","Tmin (C)","TBS07 (C)","TBS13 (C)","TBS19 (C)","TBH07 (C)","TBH13 (C)","TBH19 (C)","Prec07 (mm)","Prec19 (mm)","Direccion del Viento","Velocidad del Viento (m/s)"
"1",1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1968-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1968-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1968-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1968-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1968-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1968-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1968-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1968-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1968-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1968-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1968-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1968-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1968-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1968-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1968-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1968-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1968-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1968-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1968-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1968-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1968-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1968-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1968-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1968-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1968-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1968-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1968-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1968-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1968-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1968-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1968-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1968-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1968-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1968-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1968-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1968-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1968-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1968-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1968-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1968-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1968-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1968-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1968-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1968-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1968-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1968-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1968-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1968-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1968-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1968-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1968-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1968-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1968-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1968-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1968-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1968-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1968-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1968-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1968-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1968-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
