"","Fecha","Nivel06 (m)","Nivel10 (m)","Nivel14 (m)","Nivel18 (m)","Caudal (m^3/s)"
"1",1957-01-01,NA,NA,NA,NA,NA
"2",1957-01-02,NA,NA,NA,NA,NA
"3",1957-01-03,NA,NA,NA,NA,NA
"4",1957-01-04,NA,NA,NA,NA,NA
"5",1957-01-05,NA,NA,NA,NA,NA
"6",1957-01-06,NA,NA,NA,NA,NA
"7",1957-01-07,NA,NA,NA,NA,NA
"8",1957-01-08,NA,NA,NA,NA,NA
"9",1957-01-09,NA,NA,NA,NA,NA
"10",1957-01-10,NA,NA,NA,NA,NA
"11",1957-01-11,NA,NA,NA,NA,NA
"12",1957-01-12,NA,NA,NA,NA,NA
"13",1957-01-13,NA,NA,NA,NA,NA
"14",1957-01-14,NA,NA,NA,NA,NA
"15",1957-01-15,NA,NA,NA,NA,NA
"16",1957-01-16,NA,NA,NA,NA,NA
"17",1957-01-17,NA,NA,NA,NA,NA
"18",1957-01-18,NA,NA,NA,NA,NA
"19",1957-01-19,NA,NA,NA,NA,NA
"20",1957-01-20,NA,NA,NA,NA,NA
"21",1957-01-21,NA,NA,NA,NA,NA
"22",1957-01-22,NA,NA,NA,NA,NA
"23",1957-01-23,NA,NA,NA,NA,NA
"24",1957-01-24,NA,NA,NA,NA,NA
"25",1957-01-25,NA,NA,NA,NA,NA
"26",1957-01-26,NA,NA,NA,NA,NA
"27",1957-01-27,NA,NA,NA,NA,NA
"28",1957-01-28,NA,NA,NA,NA,NA
"29",1957-01-29,NA,NA,NA,NA,NA
"30",1957-01-30,NA,NA,NA,NA,NA
"31",1957-01-31,NA,NA,NA,NA,NA
"32",1957-02-01,NA,NA,NA,NA,NA
"33",1957-02-02,NA,NA,NA,NA,NA
"34",1957-02-03,NA,NA,NA,NA,NA
"35",1957-02-04,NA,NA,NA,NA,NA
"36",1957-02-05,NA,NA,NA,NA,NA
"37",1957-02-06,NA,NA,NA,NA,NA
"38",1957-02-07,NA,NA,NA,NA,NA
"39",1957-02-08,NA,NA,NA,NA,NA
"40",1957-02-09,NA,NA,NA,NA,NA
"41",1957-02-10,NA,NA,NA,NA,NA
"42",1957-02-11,NA,NA,NA,NA,NA
"43",1957-02-12,NA,NA,NA,NA,NA
"44",1957-02-13,NA,NA,NA,NA,NA
"45",1957-02-14,NA,NA,NA,NA,NA
"46",1957-02-15,NA,NA,NA,NA,NA
"47",1957-02-16,NA,NA,NA,NA,NA
"48",1957-02-17,NA,NA,NA,NA,NA
"49",1957-02-18,NA,NA,NA,NA,NA
"50",1957-02-19,NA,NA,NA,NA,NA
"51",1957-02-20,NA,NA,NA,NA,NA
"52",1957-02-21,NA,NA,NA,NA,NA
"53",1957-02-22,NA,NA,NA,NA,NA
"54",1957-02-23,NA,NA,NA,NA,NA
"55",1957-02-24,NA,NA,NA,NA,NA
"56",1957-02-25,NA,NA,NA,NA,NA
"57",1957-02-26,NA,NA,NA,NA,0.5
"58",1957-02-27,NA,NA,NA,NA,0.49
"59",1957-02-28,NA,NA,NA,NA,0.6
"60",1957-03-01,NA,NA,NA,NA,0.6
"61",1957-03-02,NA,NA,NA,NA,0.65
"62",1957-03-03,NA,NA,NA,NA,1.8
"63",1957-03-04,NA,NA,NA,NA,1.8
"64",1957-03-05,NA,NA,NA,NA,1.6
"65",1957-03-06,NA,NA,NA,NA,1.2
"66",1957-03-07,NA,NA,NA,NA,1.1
"67",1957-03-08,NA,NA,NA,NA,1.1
"68",1957-03-09,NA,NA,NA,NA,1.1
"69",1957-03-10,NA,NA,NA,NA,2.1
"70",1957-03-11,NA,NA,NA,NA,2
"71",1957-03-12,NA,NA,NA,NA,2
"72",1957-03-13,NA,NA,NA,NA,2
"73",1957-03-14,NA,NA,NA,NA,1.9
"74",1957-03-15,NA,NA,NA,NA,2.2
